A,0,0,9750
A,0,1,3389
A,0,2,5123
A,0,3,5748
A,0,4,1079
A,0,5,-6093
A,0,6,4559
A,0,7,-7316
A,0,8,-6129
A,0,9,602
A,0,10,-4262
A,0,11,1627
A,0,12,1903
A,0,13,6562
A,0,14,1614
A,0,15,-3636
A,0,16,5575
A,0,17,9975
A,0,18,2436
A,0,19,5662
A,0,20,3990
A,0,21,2762
A,0,22,-9801
A,0,23,9835
A,0,24,9321
A,0,25,8169
A,0,26,3218
A,0,27,-525
A,0,28,-6086
A,0,29,7897
A,0,30,-9521
A,0,31,-8963
A,0,32,759
A,0,33,6244
A,0,34,4414
A,0,35,-934
A,0,36,-3593
A,0,37,-5622
A,0,38,8166
A,0,39,-9488
A,0,40,5809
A,0,41,7079
A,0,42,-8210
A,0,43,-528
A,0,44,5524
A,0,45,5877
A,0,46,-527
A,0,47,5717
A,0,48,5529
A,0,49,-9765
A,0,50,2071
A,0,51,2029
A,0,52,-1447
A,0,53,6310
A,0,54,-8512
A,0,55,-3492
A,0,56,5115
A,0,57,-1333
A,0,58,-4645
A,0,59,9394
A,0,60,2221
A,0,61,-9435
A,0,62,8269
A,0,63,-4655
A,0,64,451
A,0,65,6591
A,0,66,-9250
A,0,67,7402
A,0,68,3341
A,0,69,-2553
A,0,70,1882
A,0,71,-4986
A,0,72,4984
A,0,73,8418
A,0,74,6327
A,0,75,24
A,0,76,-57
A,0,77,-6411
A,0,78,9003
A,0,79,9988
A,0,80,-1203
A,0,81,-7098
A,0,82,-8512
A,0,83,5865
A,0,84,6164
A,0,85,-2994
A,0,86,-5037
A,0,87,4621
A,0,88,4661
A,0,89,1445
A,0,90,3064
A,0,91,8289
A,0,92,-174
A,0,93,-2640
A,0,94,-5998
A,0,95,2420
A,0,96,7353
A,0,97,-514
A,0,98,7260
A,0,99,-6530
A,0,100,9585
A,0,101,-602
A,0,102,-1577
A,0,103,-5470
A,0,104,-2227
A,0,105,9844
A,0,106,-4194
A,0,107,9244
A,0,108,-3900
A,0,109,-2856
A,0,110,7471
A,0,111,807
A,0,112,7253
A,0,113,8004
A,0,114,9780
A,0,115,4070
A,0,116,6624
A,0,117,-5475
A,0,118,-3611
A,0,119,2170
A,0,120,1224
A,0,121,-351
A,0,122,5757
A,0,123,-3942
A,0,124,-8579
A,0,125,7444
A,0,126,-4538
A,0,127,3829
A,0,128,8130
A,0,129,5656
A,1,0,3722
A,1,1,4686
A,1,2,-3328
A,1,3,-8465
A,1,4,6894
A,1,5,2800
A,1,6,1283
A,1,7,-6713
A,1,8,-3975
A,1,9,-7273
A,1,10,7575
A,1,11,-8932
A,1,12,2603
A,1,13,7631
A,1,14,1108
A,1,15,-7119
A,1,16,-4483
A,1,17,-4444
A,1,18,-7909
A,1,19,4826
A,1,20,-135
A,1,21,-7001
A,1,22,9457
A,1,23,5627
A,1,24,-2376
A,1,25,-7066
A,1,26,-4832
A,1,27,8649
A,1,28,7252
A,1,29,-4905
A,1,30,-3933
A,1,31,-8441
A,1,32,5223
A,1,33,1479
A,1,34,-3100
A,1,35,2574
A,1,36,2459
A,1,37,6829
A,1,38,3729
A,1,39,5023
A,1,40,8567
A,1,41,-8738
A,1,42,6479
A,1,43,-3526
A,1,44,413
A,1,45,-1554
A,1,46,-6893
A,1,47,6611
A,1,48,6357
A,1,49,6153
A,1,50,-1575
A,1,51,-1382
A,1,52,4942
A,1,53,-7468
A,1,54,891
A,1,55,-2103
A,1,56,6627
A,1,57,7705
A,1,58,-7900
A,1,59,-4426
A,1,60,-7104
A,1,61,2821
A,1,62,1272
A,1,63,-8423
A,1,64,1963
A,1,65,-8253
A,1,66,-8670
A,1,67,-5782
A,1,68,-6722
A,1,69,-5548
A,1,70,-8782
A,1,71,-4827
A,1,72,3699
A,1,73,8069
A,1,74,-3347
A,1,75,9836
A,1,76,1878
A,1,77,-8791
A,1,78,9884
A,1,79,-2555
A,1,80,-4402
A,1,81,9894
A,1,82,-8107
A,1,83,-1234
A,1,84,1595
A,1,85,9224
A,1,86,-3277
A,1,87,-755
A,1,88,-4497
A,1,89,7104
A,1,90,8383
A,1,91,-9412
A,1,92,-7724
A,1,93,-9326
A,1,94,1082
A,1,95,-542
A,1,96,-785
A,1,97,9096
A,1,98,1271
A,1,99,6692
A,1,100,-1775
A,1,101,-6270
A,1,102,2250
A,1,103,1555
A,1,104,-3297
A,1,105,969
A,1,106,-1196
A,1,107,-229
A,1,108,-4579
A,1,109,-1351
A,1,110,627
A,1,111,6089
A,1,112,-9084
A,1,113,6820
A,1,114,9339
A,1,115,1346
A,1,116,476
A,1,117,-3515
A,1,118,-5937
A,1,119,-1450
A,1,120,-26
A,1,121,3618
A,1,122,5522
A,1,123,9916
A,1,124,-4377
A,1,125,3811
A,1,126,-3871
A,1,127,-4922
A,1,128,-9205
A,1,129,-6385
A,2,0,5800
A,2,1,-5056
A,2,2,2413
A,2,3,-994
A,2,4,-7858
A,2,5,-739
A,2,6,-4082
A,2,7,1638
A,2,8,-6339
A,2,9,-9870
A,2,10,-651
A,2,11,5440
A,2,12,6226
